,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,religion
0,Afghanistan,0,0,0,0,muslim mostly
1,Albania,89,132,54,4.9,muslim mostly
2,Algeria,25,0,14,0.7,christian mostly
3,Andorra,245,138,312,12.4,christian mostly
4,Angola,217,57,45,5.9,christian mostly
5,Antigua & Barbuda,102,128,45,4.9,christian mostly
6,Argentina,193,25,221,8.3,christian mostly
7,Armenia,21,179,11,3.8,christian mostly
8,Australia,261,72,212,10.4,christian mostly
9,Austria,279,75,191,9.7,christian mostly
10,Azerbaijan,21,46,5,1.3,muslim mostly
11,Bahamas,122,176,51,6.3,christian mostly
12,Bahrain,42,63,7,2,muslim mostly
13,Bangladesh,0,0,0,0,muslim mostly
14,Barbados,143,173,36,6.3,christian mostly
15,Belarus,142,373,42,14.4,christian mostly
16,Belgium,295,84,212,10.5,christian mostly
17,Belize,263,114,8,6.8,other
18,Benin,34,4,13,1.1,other
19,Bhutan,23,0,0,0.4,christian mostly
20,Bolivia,167,41,8,3.8,christian mostly
21,Bosnia-Herzegovina,76,173,8,4.6,christian mostly
22,Botswana,173,35,35,5.4,christian mostly
23,Brazil,245,145,16,7.2,christian mostly
24,Brunei,31,2,1,0.6,christian mostly
25,Bulgaria,231,252,94,10.3,christian mostly
26,Burkina Faso,25,7,7,4.3,christian mostly
27,Burundi,88,0,0,6.3,other
28,Cote d'Ivoire,37,1,7,4,christian mostly
29,Cabo Verde,144,56,16,4,other
30,Cambodia,57,65,1,2.2,other
31,Cameroon,147,1,4,5.8,christian mostly
32,Canada,240,122,100,8.2,christian mostly
33,Central African Republic,17,2,1,1.8,christian mostly
34,Chad,15,1,1,0.4,christian mostly
35,Chile,130,124,172,7.6,christian mostly
36,China,79,192,8,5,other
37,Colombia,159,76,3,4.2,christian mostly
38,Comoros,1,3,1,0.1,other
39,Congo,76,1,9,1.7,christian mostly
40,Cook Islands,0,254,74,5.9,christian mostly
41,Costa Rica,149,87,11,4.4,christian mostly
42,Croatia,230,87,254,10.2,christian mostly
43,Cuba,93,137,5,4.2,christian mostly
44,Cyprus,192,154,113,8.2,christian mostly
45,Czech Republic,361,170,134,11.8,christian mostly
46,North Korea,0,0,0,0,other
47,DR Congo,32,3,1,2.3,christian mostly
48,Denmark,224,81,278,10.4,christian mostly
49,Djibouti,15,44,3,1.1,christian mostly
50,Dominica,52,286,26,6.6,christian mostly
51,Dominican Republic,193,147,9,6.2,christian mostly
52,Ecuador,162,74,3,4.2,christian mostly
53,Egypt,6,4,1,0.2,muslim mostly
54,El Salvador,52,69,2,2.2,christian mostly
